City,Customer type,Gender,Product line,Quantity,Sales,Payment,Rating
Yangon,Member,Female,Food and beverages,3,166.1625,Ewallet,9.3
Mandalay,Member,Female,Home and lifestyle,6,521.01,Cash,7.4
Naypyitaw,Member,Female,Fashion accessories,1,51.1455,Cash,4.1
Naypyitaw,Member,Female,Fashion accessories,9,742.2975,Cash,7.2
Naypyitaw,Member,Female,Electronic accessories,9,218.0115,Cash,4.9
Yangon,Member,Female,Food and beverages,6,367.038,Cash,9.9
Mandalay,Member,Female,Health and beauty,7,223.0725,Cash,8
Yangon,Member,Female,Electronic accessories,10,931.035,Ewallet,7.3
Naypyitaw,Member,Female,Fashion accessories,6,172.494,Credit card,7.9
Yangon,Member,Female,Sports and travel,6,391.419,Cash,7.4
Naypyitaw,Member,Female,Food and beverages,9,321.111,Cash,4.2
Naypyitaw,Member,Female,Electronic accessories,10,860.685,Cash,9.2
Mandalay,Member,Female,Sports and travel,2,34.629,Ewallet,4.6
Naypyitaw,Member,Female,Health and beauty,3,309.3615,Credit card,7.8
Mandalay,Member,Female,Fashion accessories,7,535.374,Cash,8.4
Yangon,Member,Female,Home and lifestyle,9,548.7615,Ewallet,4.3
Naypyitaw,Member,Female,Home and lifestyle,9,763.4655,Credit card,9.5
Naypyitaw,Member,Female,Fashion accessories,3,85.113,Credit card,7.1
Mandalay,Member,Female,Fashion accessories,5,115.185,Ewallet,5.3
Mandalay,Member,Female,Fashion accessories,1,53.928,Ewallet,5.2
Yangon,Member,Female,Food and beverages,10,115.08,Ewallet,6
Mandalay,Member,Female,Home and lifestyle,2,112.224,Ewallet,4.1
Yangon,Member,Female,Electronic accessories,8,836.304,Credit card,5.2
Naypyitaw,Member,Female,Sports and travel,7,419.832,Credit card,6.5
Mandalay,Member,Female,Sports and travel,9,944.622,Credit card,4.2
Naypyitaw,Member,Female,Home and lifestyle,8,536.844,Credit card,4.6
Mandalay,Member,Female,Fashion accessories,8,474.348,Ewallet,7.3
Yangon,Member,Female,Home and lifestyle,7,688.6215,Credit card,4.5
Yangon,Member,Female,Sports and travel,5,169.3125,Cash,9
Naypyitaw,Member,Female,Fashion accessories,9,299.8485,Credit card,5.9
Naypyitaw,Member,Female,Food and beverages,8,575.736,Ewallet,8.5
Mandalay,Member,Female,Sports and travel,9,853.146,Ewallet,7.2
Mandalay,Normal,Female,Fashion accessories,7,291.207,Cash,7.5
Yangon,Member,Female,Sports and travel,6,580.419,Cash,8.3
Mandalay,Normal,Female,Sports and travel,4,146.328,Cash,7.4
Mandalay,Member,Female,Electronic accessories,6,550.935,Credit card,8.8
Naypyitaw,Normal,Female,Health and beauty,6,512.19,Ewallet,5.3
Naypyitaw,Normal,Female,Fashion accessories,3,284.193,Cash,6.2
Yangon,Normal,Female,Electronic accessories,5,138.1275,Credit card,8.8
Yangon,Member,Female,Home and lifestyle,6,216.846,Cash,9.8
Mandalay,Normal,Female,Sports and travel,10,545.055,Cash,8.2
Yangon,Normal,Female,Sports and travel,8,609,Ewallet,9.2
Naypyitaw,Member,Female,Sports and travel,10,942.9,Credit card,5.4
Naypyitaw,Member,Male,Health and beauty,10,950.25,Cash,8.1
Naypyitaw,Member,Female,Health and beauty,10,720.3,Cash,9.1
Naypyitaw,Member,Female,Food and beverages,1,31.9305,Credit card,8.4
Yangon,Normal,Female,Home and lifestyle,6,491.085,Ewallet,8
Naypyitaw,Normal,Female,Health and beauty,6,291.438,Credit card,9.5
Yangon,Member,Female,Fashion accessories,10,316.47,Ewallet,9.2
Naypyitaw,Normal,Male,Health and beauty,4,277.788,Credit card,5.6
Mandalay,Member,Male,Home and lifestyle,8,603.624,Credit card,6.2
Yangon,Normal,Male,Health and beauty,8,272.664,Credit card,4.9
Mandalay,Member,Female,Fashion accessories,4,384.468,Credit card,4.8
Naypyitaw,Member,Male,Sports and travel,7,254.016,Credit card,7.3
Yangon,Normal,Male,Fashion accessories,9,786.618,Credit card,7.4
Naypyitaw,Normal,Female,Food and beverages,6,103.824,Ewallet,9.9
Naypyitaw,Normal,Female,Sports and travel,8,680.148,Cash,9.3
Yangon,Member,Male,Food and beverages,5,484.5225,Credit card,9
Mandalay,Member,Male,Electronic accessories,1,75.7785,Cash,6.1
Mandalay,Normal,Male,Home and lifestyle,5,263.97,Ewallet,9.7
Mandalay,Member,Male,Health and beauty,9,918.729,Ewallet,6
Mandalay,Normal,Male,Sports and travel,6,588.357,Ewallet,10
Naypyitaw,Normal,Female,Food and beverages,8,362.712,Credit card,8.3
Yangon,Normal,Male,Sports and travel,1,66.8745,Cash,6
Yangon,Normal,Male,Food and beverages,7,336.5565,Credit card,7
Naypyitaw,Normal,Male,Sports and travel,2,160.44,Ewallet,6.5
Mandalay,Normal,Male,Food and beverages,10,418.95,Credit card,5.9
Mandalay,Member,Male,Health and beauty,8,357.588,Ewallet,5.6
Naypyitaw,Normal,Male,Home and lifestyle,10,1003.59,Cash,4.8
Yangon,Normal,Male,Fashion accessories,10,1039.29,Credit card,8.7
Yangon,Normal,Male,Food and beverages,6,323.064,Cash,6.5
Yangon,Member,Male,Sports and travel,7,510.972,Credit card,8.5
Yangon,Normal,Male,Health and beauty,5,367.5525,Ewallet,5.5
Mandalay,Member,Male,Food and beverages,5,420.2625,Credit card,9.4
Naypyitaw,Normal,Male,Electronic accessories,8,175.14,Cash,6.3
Mandalay,Member,Male,Electronic accessories,6,333.207,Credit card,9.8
Mandalay,Normal,Male,Food and beverages,8,166.236,Ewallet,8.7
Yangon,Member,Male,Home and lifestyle,9,319.788,Ewallet,8.8
Yangon,Member,Male,Food and beverages,8,186.228,Credit card,9.6
Naypyitaw,Normal,Female,Fashion accessories,7,165.4485,Credit card,4.8
Yangon,Normal,Male,Food and beverages,6,465.444,Ewallet,4.4
Naypyitaw,Member,Male,Health and beauty,3,273.42,Ewallet,9.9
Naypyitaw,Normal,Male,Fashion accessories,7,472.311,Cash,5.7
Naypyitaw,Member,Male,Food and beverages,8,323.148,Cash,7.7
Yangon,Member,Male,Sports and travel,10,162.75,Ewallet,8
Naypyitaw,Normal,Male,Health and beauty,8,288.204,Ewallet,5.7
Yangon,Normal,Female,Sports and travel,7,90.699,Credit card,6.7
Mandalay,Member,Male,Food and beverages,3,56.952,Ewallet,8
Mandalay,Member,Female,Home and lifestyle,8,793.716,Ewallet,7.5
Mandalay,Member,Male,Home and lifestyle,4,195.174,Cash,7
Yangon,Normal,Male,Home and lifestyle,1,77.7735,Ewallet,9.9
Naypyitaw,Normal,Female,Home and lifestyle,4,293.202,Credit card,5.9
Mandalay,Normal,Female,Home and lifestyle,3,242.676,Credit card,7.2
Mandalay,Normal,Female,Fashion accessories,2,154.392,Ewallet,4.6
Naypyitaw,Normal,Female,Food and beverages,9,829.71,Cash,9.2
Mandalay,Normal,Male,Home and lifestyle,4,107.31,Ewallet,5.7
Yangon,Normal,Male,Electronic accessories,5,171.7275,Credit card,9.9
Naypyitaw,Member,Female,Fashion accessories,1,78.0045,Cash,5
Naypyitaw,Member,Male,Health and beauty,2,91.77,Cash,4.9
Yangon,Normal,Female,Home and lifestyle,1,26.5545,Ewallet,6.1
Naypyitaw,Normal,Male,Health and beauty,4,174.3,Credit card,8.2
Naypyitaw,Member,Female,Food and beverages,5,374.7975,Credit card,5.5
Naypyitaw,Member,Female,Sports and travel,6,120.645,Credit card,6.8
Mandalay,Member,Female,Electronic accessories,4,241.458,Cash,6.6
Naypyitaw,Normal,Male,Electronic accessories,7,451.3635,Cash,9.8
Mandalay,Member,Male,Health and beauty,10,271.95,Ewallet,8.7
Mandalay,Member,Male,Home and lifestyle,5,93.2925,Credit card,5.4
Yangon,Normal,Female,Health and beauty,9,217.6335,Ewallet,7.9
Naypyitaw,Member,Female,Electronic accessories,9,629.8425,Credit card,9.7
Naypyitaw,Member,Female,Home and lifestyle,10,299.565,Ewallet,7.8
Mandalay,Normal,Female,Fashion accessories,3,95.6655,Ewallet,5.1
Mandalay,Normal,Female,Electronic accessories,9,942.4485,Credit card,6.5
Yangon,Normal,Male,Electronic accessories,9,247.8735,Ewallet,5.9
Naypyitaw,Normal,Female,Food and beverages,9,881.307,Cash,8.8
Mandalay,Normal,Male,Home and lifestyle,5,484.89,Ewallet,4.9
Mandalay,Normal,Male,Sports and travel,3,146.223,Credit card,4.4
Mandalay,Member,Female,Sports and travel,7,217.6335,Cash,6.5
Yangon,Normal,Male,Home and lifestyle,1,19.194,Credit card,8.3
Mandalay,Normal,Female,Sports and travel,5,130.0425,Cash,8.5
Yangon,Member,Female,Electronic accessories,3,298.116,Cash,5.5
Mandalay,Normal,Male,Fashion accessories,8,796.908,Ewallet,8.7
Mandalay,Normal,Female,Food and beverages,3,180.621,Credit card,7.9
Mandalay,Normal,Male,Electronic accessories,6,285.705,Ewallet,6.1
Mandalay,Normal,Male,Food and beverages,7,456.288,Ewallet,5.4
Naypyitaw,Normal,Male,Electronic accessories,5,62.0025,Cash,9.4
Naypyitaw,Member,Female,Fashion accessories,1,13.167,Cash,8.2
Yangon,Normal,Male,Food and beverages,2,90.825,Cash,6.2
Naypyitaw,Member,Female,Sports and travel,2,183.036,Credit card,9.7
Mandalay,Member,Male,Health and beauty,9,655.5465,Ewallet,4
Naypyitaw,Member,Male,Electronic accessories,4,155.652,Ewallet,9.7
Mandalay,Member,Female,Electronic accessories,6,571.41,Cash,5.3
Yangon,Normal,Female,Home and lifestyle,8,532.728,Ewallet,7.4
Mandalay,Normal,Female,Fashion accessories,2,170.877,Cash,6.5
Mandalay,Member,Female,Electronic accessories,3,33.3585,Credit card,8.7
Mandalay,Normal,Female,Health and beauty,9,794.6505,Cash,8
Mandalay,Member,Male,Fashion accessories,4,310.044,Cash,6.7
Yangon,Member,Male,Health and beauty,10,545.37,Ewallet,6.5
Yangon,Normal,Female,Sports and travel,2,195.594,Ewallet,4.1
Naypyitaw,Normal,Male,Health and beauty,5,91.4025,Credit card,4.9
Naypyitaw,Member,Female,Fashion accessories,5,232.155,Credit card,8.6
Mandalay,Member,Female,Electronic accessories,5,69.405,Cash,4.3
Yangon,Normal,Male,Fashion accessories,1,94.1745,Ewallet,4.9
Yangon,Normal,Male,Food and beverages,9,235.683,Credit card,5.6
Yangon,Normal,Male,Health and beauty,2,125.517,Credit card,5.8
Naypyitaw,Member,Male,Fashion accessories,2,195.72,Credit card,6
Yangon,Member,Male,Home and lifestyle,4,263.13,Cash,4.2
Mandalay,Normal,Male,Home and lifestyle,8,788.508,Credit card,8.3
Yangon,Member,Male,Home and lifestyle,8,399.756,Cash,5.7
Mandalay,Member,Female,Electronic accessories,3,256.41,Cash,4.8
Yangon,Member,Male,Fashion accessories,5,94.185,Ewallet,6.8
Yangon,Member,Male,Electronic accessories,4,326.424,Credit card,8.8
Mandalay,Normal,Male,Food and beverages,7,536.991,Credit card,4.2
Mandalay,Member,Male,Food and beverages,9,439.8975,Ewallet,6.4
Naypyitaw,Member,Male,Fashion accessories,10,369.495,Credit card,8.4
Naypyitaw,Normal,Female,Sports and travel,2,30.219,Credit card,7.2
Yangon,Normal,Male,Home and lifestyle,4,99.75,Cash,5.2
Yangon,Member,Male,Home and lifestyle,8,494.76,Cash,8.9
Mandalay,Member,Male,Fashion accessories,4,137.004,Cash,9
Yangon,Member,Male,Electronic accessories,1,69.6675,Credit card,9.7
Yangon,Member,Male,Home and lifestyle,6,163.233,Ewallet,8.7
Yangon,Member,Male,Electronic accessories,4,135.45,Ewallet,6.5
Naypyitaw,Member,Male,Electronic accessories,4,276.948,Credit card,6.9
Yangon,Normal,Female,Electronic accessories,9,709.317,Ewallet,6.2
Naypyitaw,Normal,Female,Fashion accessories,4,69.09,Ewallet,5.6
Mandalay,Member,Female,Fashion accessories,4,160.86,Cash,5.7
Yangon,Member,Female,Sports and travel,10,233.52,Cash,4.2
Mandalay,Normal,Male,Sports and travel,1,57.1725,Ewallet,7.9
Yangon,Member,Female,Sports and travel,7,723.24,Credit card,8.7
Naypyitaw,Normal,Male,Home and lifestyle,4,148.974,Credit card,6.9
Mandalay,Member,Female,Food and beverages,10,783.3,Cash,9.5
Yangon,Member,Male,Home and lifestyle,4,297.108,Credit card,4.4
Yangon,Member,Female,Home and lifestyle,10,373.17,Ewallet,7
Mandalay,Normal,Female,Sports and travel,5,354.0075,Ewallet,6.3
Naypyitaw,Member,Female,Health and beauty,2,44.352,Cash,9.7
Yangon,Member,Female,Home and lifestyle,9,203.553,Credit card,8.8
Yangon,Normal,Female,Home and lifestyle,2,25.263,Cash,5.1
Mandalay,Normal,Female,Health and beauty,6,628.173,Ewallet,7.9
Mandalay,Normal,Male,Fashion accessories,7,352.5795,Cash,6.2
Naypyitaw,Member,Female,Home and lifestyle,10,229.11,Cash,7.1
Naypyitaw,Normal,Female,Fashion accessories,4,400.764,Ewallet,6.4
Naypyitaw,Member,Male,Fashion accessories,10,745.395,Cash,5.7
Yangon,Member,Male,Sports and travel,10,462.21,Credit card,9.6
Yangon,Normal,Female,Home and lifestyle,8,587.664,Credit card,6.4
Naypyitaw,Normal,Male,Home and lifestyle,1,38.85,Credit card,7.9
Yangon,Normal,Female,Sports and travel,1,16.107,Cash,6.5
Yangon,Member,Male,Health and beauty,6,628.929,Ewallet,8.5
Yangon,Member,Female,Health and beauty,4,200.214,Cash,9.1
Mandalay,Normal,Male,Health and beauty,5,350.07,Cash,7.6
Naypyitaw,Member,Male,Home and lifestyle,1,78.603,Cash,6.9
Naypyitaw,Normal,Female,Sports and travel,9,224.4375,Cash,9.5
Mandalay,Normal,Female,Food and beverages,7,356.5485,Credit card,5.2
Yangon,Member,Female,Home and lifestyle,7,697.368,Cash,4.2
Mandalay,Member,Male,Electronic accessories,10,423.15,Credit card,7
Naypyitaw,Normal,Male,Electronic accessories,7,204.6975,Ewallet,6
Yangon,Member,Female,Electronic accessories,1,65.604,Cash,4.7
Yangon,Member,Female,Food and beverages,2,76.356,Cash,7.1
Mandalay,Normal,Male,Health and beauty,10,190.155,Ewallet,5.9
Naypyitaw,Member,Female,Electronic accessories,5,272.58,Cash,7.5
Naypyitaw,Normal,Male,Electronic accessories,4,121.128,Cash,6.4
Yangon,Member,Male,Home and lifestyle,6,493.794,Ewallet,5.8
Yangon,Member,Male,Home and lifestyle,4,252.042,Cash,4.5
Naypyitaw,Member,Female,Home and lifestyle,1,93.0405,Cash,7.7
Naypyitaw,Normal,Male,Fashion accessories,2,209.622,Credit card,6.7
Mandalay,Member,Male,Health and beauty,1,40.9605,Credit card,4.7
Naypyitaw,Normal,Male,Food and beverages,1,51.0405,Cash,4.4
Yangon,Normal,Female,Electronic accessories,4,214.998,Credit card,4.7
Mandalay,Normal,Female,Electronic accessories,8,125.664,Cash,8.6
Yangon,Member,Male,Electronic accessories,7,530.67,Ewallet,4.3
Yangon,Normal,Female,Sports and travel,7,295.6905,Cash,9.6
Yangon,Member,Female,Home and lifestyle,8,745.836,Cash,4.1
Yangon,Member,Female,Electronic accessories,3,83.412,Ewallet,4.7
Yangon,Normal,Female,Fashion accessories,2,172.011,Cash,7.8
Mandalay,Member,Male,Sports and travel,6,503.559,Cash,5.5
Naypyitaw,Member,Male,Fashion accessories,2,145.593,Ewallet,9.7
Yangon,Member,Female,Food and beverages,5,74.7075,Credit card,4.4
Yangon,Member,Female,Health and beauty,9,146.9475,Cash,5
Naypyitaw,Member,Female,Electronic accessories,10,820.365,Cash,4.4
Naypyitaw,Member,Male,Food and beverages,2,208.677,Cash,5.2
Naypyitaw,Member,Female,Food and beverages,3,66.402,Cash,7.3
Naypyitaw,Member,Male,Electronic accessories,5,392.6475,Cash,4.9
Naypyitaw,Member,Female,Health and beauty,7,218.0745,Credit card,8.1
Naypyitaw,Member,Male,Health and beauty,4,185.094,Ewallet,8.4
Naypyitaw,Normal,Female,Food and beverages,9,216.6885,Cash,5.5
Naypyitaw,Normal,Female,Health and beauty,1,41.391,Cash,8.4
Yangon,Normal,Male,Health and beauty,6,96.138,Ewallet,9.8
Yangon,Normal,Female,Fashion accessories,5,324.2925,Cash,6.7
Yangon,Normal,Male,Home and lifestyle,6,135.576,Credit card,9.4
Mandalay,Normal,Male,Sports and travel,4,410.508,Ewallet,6.4
Yangon,Member,Male,Food and beverages,5,523.845,Cash,5.4
Naypyitaw,Member,Male,Food and beverages,4,395.892,Cash,8.6
Mandalay,Member,Male,Health and beauty,4,214.746,Credit card,4
Yangon,Member,Male,Electronic accessories,4,152.712,Cash,7.6
Mandalay,Normal,Male,Home and lifestyle,9,208.089,Cash,6.8
Yangon,Normal,Male,Food and beverages,3,103.635,Credit card,9.1
Yangon,Normal,Male,Fashion accessories,5,404.355,Cash,5.5
Yangon,Member,Male,Food and beverages,2,49.308,Credit card,7.9
Naypyitaw,Member,Male,Sports and travel,5,77.175,Ewallet,8.5
Yangon,Member,Female,Electronic accessories,5,149.3625,Credit card,9.1
Yangon,Normal,Male,Fashion accessories,9,721.98,Ewallet,7.5
Mandalay,Normal,Female,Sports and travel,6,365.085,Cash,5.2
Naypyitaw,Normal,Female,Electronic accessories,3,150.0975,Credit card,9.5
Mandalay,Member,Female,Food and beverages,9,404.649,Credit card,8.9
Mandalay,Member,Male,Electronic accessories,3,151.4835,Credit card,7.8
Mandalay,Member,Female,Health and beauty,7,411.3795,Ewallet,8.9
Mandalay,Member,Female,Health and beauty,7,565.215,Cash,7.7
Naypyitaw,Normal,Female,Food and beverages,5,509.4075,Ewallet,9.3
Yangon,Normal,Male,Sports and travel,3,140.6475,Cash,6.2
Yangon,Normal,Female,Fashion accessories,9,736.4385,Ewallet,7.6
Yangon,Member,Male,Electronic accessories,1,75.5475,Cash,7.3
Naypyitaw,Member,Female,Home and lifestyle,8,749.7,Cash,4.7
Yangon,Normal,Male,Electronic accessories,7,191.247,Cash,5.1
Mandalay,Normal,Female,Health and beauty,10,141.75,Credit card,4.8
Naypyitaw,Member,Female,Fashion accessories,10,1042.65,Credit card,6.6
Yangon,Normal,Male,Electronic accessories,7,379.9215,Cash,5.5
Mandalay,Member,Female,Fashion accessories,7,402.2655,Credit card,8.5
Mandalay,Member,Male,Home and lifestyle,9,255.15,Cash,4.8
Naypyitaw,Normal,Female,Electronic accessories,1,31.752,Cash,8.4
Mandalay,Member,Female,Food and beverages,4,374.388,Credit card,7.8
Naypyitaw,Normal,Female,Fashion accessories,10,394.275,Credit card,9.3
Naypyitaw,Normal,Female,Sports and travel,10,1002.12,Cash,5.2
Mandalay,Normal,Male,Electronic accessories,3,86.625,Ewallet,6.5
Mandalay,Normal,Male,Sports and travel,1,78.7185,Cash,5.6
Yangon,Member,Male,Food and beverages,8,680.064,Credit card,7.4
Naypyitaw,Normal,Female,Food and beverages,8,793.548,Cash,9.1
Naypyitaw,Normal,Male,Food and beverages,2,209.559,Ewallet,8
Yangon,Normal,Male,Home and lifestyle,6,461.286,Cash,7.2
Naypyitaw,Normal,Female,Food and beverages,4,173.208,Cash,7.1
Naypyitaw,Normal,Female,Fashion accessories,4,343.056,Cash,9.1
Naypyitaw,Normal,Female,Electronic accessories,9,484.974,Cash,5.6
Yangon,Member,Male,Home and lifestyle,4,276.948,Cash,6
Naypyitaw,Normal,Female,Sports and travel,10,150.78,Cash,5.4
Yangon,Member,Male,Electronic accessories,9,203.175,Credit card,7.8
Mandalay,Member,Female,Electronic accessories,7,193.011,Cash,9.9
Mandalay,Normal,Female,Fashion accessories,2,128.016,Credit card,4.9
Naypyitaw,Normal,Female,Home and lifestyle,6,441.693,Ewallet,5.2
Naypyitaw,Normal,Male,Fashion accessories,6,265.104,Cash,8.9
Yangon,Normal,Female,Home and lifestyle,5,352.2225,Credit card,9.1
Yangon,Member,Female,Fashion accessories,5,507.675,Ewallet,7
Mandalay,Member,Female,Home and lifestyle,9,334.341,Credit card,9.6
Naypyitaw,Normal,Male,Sports and travel,7,701.8515,Ewallet,8.7
Naypyitaw,Member,Male,Fashion accessories,4,407.316,Ewallet,9.4
Mandalay,Normal,Female,Electronic accessories,4,99.33,Credit card,4
Yangon,Member,Male,Sports and travel,4,345.786,Credit card,7.5
Naypyitaw,Normal,Female,Electronic accessories,2,55.881,Cash,4.2
Mandalay,Normal,Female,Food and beverages,5,523.3725,Cash,9.9
Naypyitaw,Member,Female,Food and beverages,4,314.538,Ewallet,4.2
Yangon,Normal,Female,Food and beverages,5,214.935,Ewallet,9.9
Mandalay,Member,Male,Sports and travel,1,79.611,Cash,5.8
Naypyitaw,Normal,Male,Food and beverages,6,294.651,Cash,6
Yangon,Normal,Female,Health and beauty,10,339.36,Credit card,10
Naypyitaw,Member,Female,Fashion accessories,9,510.9615,Ewallet,9.5
Mandalay,Normal,Male,Food and beverages,7,133.917,Credit card,6.6
Naypyitaw,Member,Female,Fashion accessories,3,253.512,Cash,8.1
Mandalay,Normal,Female,Fashion accessories,10,398.475,Cash,9.7
Yangon,Member,Male,Electronic accessories,1,80.661,Ewallet,7.2
